P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
ZZ9	HART030	HART046	0.0283526	4.22528	2.3864e-05	0.0603694	149150	281811	266272
HART050	HART030	HART049	0.205263	32.8559	2.3e-16	0.223557	292774	154425	101826
HART049	HART053	HART030	0.00176775	0.488373	0.625286	0.00146378	286053	172578	171969
HART049	HART030	HART063	0.0761356	13.2288	2.3e-16	0.0169619	434289	147099	126284
HART030	HART067	HART049	0.0892885	21.3234	2.3e-16	0.320913	53193.1	357605	298980
HART030	HART069	HART049	0.0527902	6.75012	1.47726e-11	0.0551541	353158	100470	90394.1
HART030	ZZ3	HART049	0.110538	23.9819	2.3e-16	0.359355	93537.3	329773	264124
HART030	ZZ7	HART049	0.119539	25.9477	2.3e-16	0.404004	78800.4	345609	271804
HART030	ZZ9	HART049	0.128677	26.8796	2.3e-16	0.416853	94642	333981	257828
HART050	HART030	HART053	0.196078	30.4314	2.3e-16	0.210871	291878	154138	103601
HART050	HART030	HART063	0.0841069	15.4397	2.3e-16	0.0136646	533244	107705	90993.4
HART050	HART030	HART067	0.11261	21.7481	2.3e-16	0.0257445	485980	101845	81228.9
HART030	HART069	HART050	0.00652532	0.969078	0.332506	0.00511216	228231	105180	103816
HART050	HART030	ZZ3	0.161405	27.3031	2.3e-16	0.0496506	427239	118304	85421.3
HART050	HART030	ZZ7	0.158366	26.9616	2.3e-16	0.0428269	445445	114092	82896.1
HART050	HART030	ZZ9	0.176045	29.361	2.3e-16	0.0536767	422292	120757	84604.3
HART053	HART030	HART063	0.0760048	13.2624	2.3e-16	0.0169472	435002	147203	126408
HART030	HART067	HART053	0.0890993	19.6739	2.3e-16	0.310431	53707.4	358812	300103
HART030	HART069	HART053	0.0359836	4.68549	2.79285e-06	0.0361115	353637	98311.3	91481.9
HART030	ZZ3	HART053	0.113807	24.8875	2.3e-16	0.359059	93188.2	332290	264384
HART030	ZZ7	HART053	0.126739	26.4255	2.3e-16	0.415937	77388.4	349663	271001
HART030	ZZ9	HART053	0.124118	25.128	2.3e-16	0.388629	95535.4	332829	259331
HART063	HART067	HART030	0.083921	11.7409	2.3e-16	0.058871	179119	267380	225977
HART069	HART030	HART063	0.00319031	0.599688	0.548714	0.000366082	619410	69456.3	69014.5
ZZ3	HART030	HART063	0.102592	15.5971	2.3e-16	0.0299256	316573	199970	162757
ZZ7	HART030	HART063	0.106575	15.8965	2.3e-16	0.0320483	301534	207348	167408
ZZ9	HART030	HART063	0.108373	16.0826	2.3e-16	0.0312849	323221	199217	160260
HART030	HART069	HART067	0.0135812	2.557	0.010558	0.00221489	571304	64481.6	62753.6
HART067	ZZ3	HART030	0.489116	46.0875	2.3e-16	0.113615	569635	114473	39273.2
HART067	ZZ7	HART030	0.412843	38.8207	2.3e-16	0.0797473	596440	90318.3	37535
HART067	ZZ9	HART030	0.502893	47.3394	2.3e-16	0.124796	557585	123425	40825
HART030	HART069	ZZ3	0.0166526	2.5336	0.0112897	0.00384582	504818	73887.4	71466.9
HART030	HART069	ZZ7	0.0410616	6.38385	1.72693e-10	0.00826165	523029	73021.9	67261.6
HART030	HART069	ZZ9	0.0353695	5.03733	4.72081e-07	0.00828084	497924	77251.2	71973.2
ZZ7	ZZ3	HART030	0.146155	8.85435	2.3e-16	0.0368028	590801	87895.9	65479.4
ZZ3	ZZ9	HART030	0.040766	2.47453	0.0133412	0.0126141	556063	94468	87067.5
ZZ7	ZZ9	HART030	0.217127	12.0476	2.3e-16	0.0489526	607249	83571	53754
HART032	HART038	HART033	0.00013232	0.042689	0.965949	0.000118463	238562	72712	72692.8
HART046	HART033	HART032	0.310493	58.3079	2.3e-16	0.469871	75569.2	318578	167618
HART049	HART033	HART032	0.25204	46.9806	2.3e-16	0.403225	73481.9	285839	170758
HART032	HART033	HART050	0.0178891	2.92483	0.00344649	0.0163817	191517	124526	120149
HART053	HART033	HART032	0.245546	44.8413	2.3e-16	0.398031	72607.1	285632	173013
HART033	HART032	HART063	0.0434427	9.00348	2.3e-16	0.00566831	575665	82366.4	75507.9
HART033	HART032	HART067	0.123855	26.3143	2.3e-16	0.0231868	522085	82366.5	64212
HART032	HART069	HART033	0.0209828	2.65192	0.00800353	0.0337423	144451	133329	127848
HART033	HART032	ZZ3	0.0260715	4.41425	1.01361e-05	0.00696694	460540	86135.6	81758.3
HART033	HART032	ZZ7	0.0676382	11.5491	2.3e-16	0.0155735	478236	85818.5	74944.7
HART033	HART032	ZZ9	0.0110116	1.78385	0.0744478	0.00296432	454113	86349.1	84468.1
HART038	HART032	HART046	0.00141684	0.643991	0.519581	0.00138044	391577	74747.4	74535.9
HART032	HART038	HART049	0.000236631	0.101043	0.919517	0.000406698	356958	76043.6	76007.6
HART032	HART038	HART050	0.000890338	0.30534	0.760107	0.000438865	303030	65910	65792.7
HART038	HART032	HART053	0.00085075	0.312476	0.754679	0.00139779	355103	76615.2	76485
HART038	HART032	HART063	0.00107874	0.382834	0.701843	7.23072e-05	699537	40368.5	40281.5
HART032	HART038	HART067	0.000205008	0.0719326	0.942656	2.02664e-05	643384	37811.1	37795.6
HART038	HART032	HART069	0.00147358	0.533776	0.593497	0.00117908	223275	74008.8	73791
HART038	HART032	ZZ3	0.00025364	0.0862112	0.931299	3.40581e-05	582175	41900.8	41879.5
HART038	HART032	ZZ7	0.0011644	0.382258	0.70227	0.000139284	599451	41163.5	41067.8
HART038	HART032	ZZ9	0.000620741	0.207713	0.835453	8.4952e-05	576955	43321.9	43268.1
HART046	HART049	HART032	0.0760554	17.0417	2.3e-16	0.111677	178368	253817	217938
HART046	HART050	HART032	0.157438	27.8698	2.3e-16	0.247735	76442.6	292571	212978
HART046	HART053	HART032	0.0818261	18.6392	2.3e-16	0.119341	180741	253461	215119
HART063	HART032	HART046	0.181444	19.3424	2.3e-16	0.473004	104770	447109	309777
