P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
HART038	HART032	HART046	0.00141684	0.643991	0.519581	0.00138044	391577	74747.4	74535.9
HART032	HART038	HART049	0.000236631	0.101043	0.919517	0.000406698	356958	76043.6	76007.6
HART032	HART038	HART050	0.000890338	0.30534	0.760107	0.000438865	303030	65910	65792.7
HART038	HART032	HART053	0.00085075	0.312476	0.754679	0.00139779	355103	76615.2	76485
HART038	HART032	HART063	0.00107874	0.382834	0.701843	7.23072e-05	699537	40368.5	40281.5
HART032	HART038	HART067	0.000205008	0.0719326	0.942656	2.02664e-05	643384	37811.1	37795.6
HART038	HART032	HART069	0.00147358	0.533776	0.593497	0.00117908	223275	74008.8	73791
HART038	HART032	ZZ3	0.00025364	0.0862112	0.931299	3.40581e-05	582175	41900.8	41879.5
HART038	HART032	ZZ7	0.0011644	0.382258	0.70227	0.000139284	599451	41163.5	41067.8
HART038	HART032	ZZ9	0.000620741	0.207713	0.835453	8.4952e-05	576955	43321.9	43268.1
HART046	HART032	HART049	0.174575	34.8172	2.3e-16	0.460286	217938	253817	178368
HART050	HART032	HART046	0.471755	110.161	2.3e-16	0.471554	292571	212978	76442.6
HART046	HART032	HART053	0.167479	35.046	2.3e-16	0.438673	215119	253461	180741
HART032	HART046	HART063	0.494533	47.818	2.3e-16	0.170397	447109	309777	104770
HART032	HART046	HART067	0.510394	56.6691	2.3e-16	0.249231	380183	282040	91425.4
HART069	HART032	HART046	0.353067	58.309	2.3e-16	0.347115	323441	155878	74528.7
HART032	HART046	ZZ3	0.33343	31.6117	2.3e-16	0.197939	346887	246940	123443
